train_loss,valid_loss,train_acc,valid_acc
2.885304500937974,2.3777516229843156,0.18675764503429598,0.3471241179255977
2.2611143125679147,1.9057771955080158,0.3634066213358223,0.5035317850521908
1.8605079248694418,1.6141238138004461,0.4773818557841446,0.5882946481377518
1.6287366826636098,1.4742759627362434,0.5198382620321008,0.5751765885218362
1.4851399406448047,1.3629285298009692,0.5648218352504834,0.5953582202870958
1.3957720643678095,1.2786599600952642,0.577457670494255,0.6135216915282664
1.2992839063391832,1.2044126831077784,0.6098054087400014,0.6377396554687069
1.2271946184195923,1.1943875074867765,0.6320444787877179,0.6286579198481216
1.1974006707179659,1.1323774718612762,0.6421531469104325,0.6548940522519178
1.1301828504723372,1.0978355404106086,0.6580742992232899,0.65590312875484
1.104640468341219,1.080309774632651,0.6679302507167456,0.669021196550606
1.062354805450232,1.082114633950889,0.6782916356796022,0.6427850702816976
1.0217969308665884,1.0118843595507647,0.6957290882500308,0.6851664993284208
0.979537859479978,1.0381939618065428,0.6997725556135961,0.6730575223503151
0.9650382788186728,1.0470243240701924,0.7000252721976655,0.6791120016370363
0.9486432514438914,1.0196175176488644,0.7134192576003491,0.6831483285795187
0.944605553213442,0.9854793513699328,0.7103866571303958,0.6922300764698794
0.9073966800006676,0.9587479311330046,0.7204953252681735,0.7003027253627296
0.8794643040525212,0.9791234657694665,0.7374273443390752,0.6871846587097368
0.8676706907693141,0.9916590135826473,0.731867576943885,0.6982845671241869
0.8480394275947023,0.9213911351474334,0.7371746276796903,0.7295660918463852
0.8380101464570157,0.9464428012233931,0.7462724290895498,0.7003027271671084
0.8362448866812605,0.9223684520581897,0.7409653781880505,0.7144298667142658
0.7959983904674435,0.9227569240975212,0.754612080430876,0.7063572107843386
0.8270714809143215,0.9116736474840721,0.7417235283318993,0.7255297637611297
0.7867464985484754,0.9091144583660707,0.7556229471136049,0.7265388507294487
0.7592329499785997,0.9346916001932893,0.7596664144621071,0.7083753740149958
0.7834844305595425,0.922011852805718,0.7584028307735423,0.7144298655714926
0.7394899099289483,0.8557125482742047,0.7738185498881346,0.7487386436804031
0.7172009353538882,0.8919091593966595,0.7786201672147915,0.7245206872582075
0.7191214607404826,0.8588387907212967,0.7776093003964948,0.7376387434458035
0.7027555962900697,0.8902151281489614,0.7841799347003602,0.7265388557215632
0.6901721421714861,0.8946526996663553,0.7803891841016215,0.7194752762945581
0.7108104098527035,0.861916574953062,0.7771038669572203,0.730575177671931
0.6835492306174972,0.8478544958905664,0.7889815521173956,0.7366296701306171
0.6829810877897114,0.8464154049558669,0.7856962347621113,0.7416750753804003
0.6585807111759152,0.8514676995041632,0.7894869855416071,0.7336024228787927
0.6556689757453633,0.8462803266965055,0.791256002413374,0.7406659950281368
0.6514542052503002,0.8472695783096413,0.7975739199976021,0.7346115055166027
0.6265998530002264,0.8377629255671073,0.8079353047797015,0.7447023260605443
0.6168951923900823,0.839124219328556,0.8011119539218928,0.7386478345040476
0.6241560199509554,0.8407409588696377,0.8064190045823827,0.7467204863440497
0.6235006293745573,0.852743515934641,0.7993429368994951,0.7285570189522206
0.6251993894667405,0.8520712496413954,0.8036391208320668,0.7356205901993752
0.5994136650242347,0.8362660402005424,0.8152640893177941,0.7366296721755796
0.6039319106024384,0.8484124785475244,0.8054081377339598,0.7346115014266775
0.5693136929622166,0.8282942779129137,0.8142532225748129,0.7487386509580641
0.5761537114146504,0.7951998885055603,0.8152640892726049,0.7497477326936847
0.576720314380464,0.8011367404015827,0.8160222393110119,0.7547931320491641
0.5713063113265247,0.7913379740161685,0.815769522636564,0.7547931320491641
